age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score,daily_social_media_time_was_missing,perceived_productivity_score_was_missing,actual_productivity_score_was_missing,stress_level_was_missing,sleep_hours_was_missing,screen_time_before_sleep_was_missing,job_satisfaction_score_was_missing,age_group,digital_addiction_index,sleep_social_ratio,notification_pressure,stress_caffeine_score,productivity_gap,wellness_effective,doomscroll_risk,productivity_tier
56.0,Male,Unemployed,4.180939775840407,Facebook,61.0,6.75355840556201,8.04046395460586,7.291555269465855,4.0,5.116545502198779,0.4191024304440629,8.0,0,0,4,11.0,21.92707243727313,6.336688286435082,0,0,0,0,0,0,0,56+,3.205906877705284,1.195192123718753,244.0,6.437751649736401,0.7489086851400053,0,0,High
46.0,Male,Health,3.24960295371668,Twitter,59.0,9.16929611963351,5.063368162322373,5.165092998005627,7.0,5.103896756553941,0.6715191847959994,7.0,1,1,2,25.0,0.0,3.4124272560804627,0,0,0,0,0,0,0,46-55,4.371189848716395,1.5237318652620355,413.0,7.690286020676768,-0.10172483568325408,0,0,Medium
32.0,Male,Finance,3.7991560165414495,Twitter,57.0,7.910952034409042,3.861762461136279,3.474053165692065,4.0,8.583221815294962,0.6243776158798261,0.0,1,0,3,17.0,10.322044274435632,2.474943628456001,1,0,0,0,0,0,0,26-35,1.7501135395847978,2.2013024815837654,228.0,5.545177444479562,0.38770929544421406,0,0,Low
60.0,Female,Unemployed,3.248010713461716,Facebook,59.0,6.355027219236192,2.9163309492583167,1.7748691740272262,6.0,6.05298417988897,1.204540403428085,1.0,0,0,0,4.0,23.876615633882547,1.7336704416826048,1,0,0,0,0,0,0,56+,3.167254085337492,1.8079345312579402,354.0,0.0,1.1414617752310905,0,0,Low
25.0,Male,It,2.132027942562344,Telegram,66.0,6.214096290148244,8.868752637090383,7.215858586429455,7.0,5.405706477416319,1.8762536932126064,1.0,0,1,1,30.0,10.653518724209473,9.40345371292937,1,0,1,0,0,0,0,18-25,2.7106776685523446,2.4218811845207573,462.0,4.852030263919617,1.6528940506609278,0,0,High
38.0,Male,Finance,1.5125684014587888,Twitter,50.0,6.429312045749606,4.243770819471564,4.081025618987782,5.0,5.515250796669619,1.5186119585364193,5.0,0,1,5,2.0,0.0,4.5687282153026025,0,1,0,0,0,0,0,36-45,1.3468395769213788,3.4201654898361644,250.0,8.958797346140274,0.16274520048378172,1,0,Medium
56.0,Female,Unemployed,4.381069807409355,Tiktok,60.0,3.9023088372875216,6.420989452422723,5.976408248839262,7.0,7.54984870353225,2.252623658268498,4.0,0,0,4,20.0,24.084905103717787,5.50137319764614,0,0,0,0,0,0,0,56+,4.008901331304114,1.6848317540264013,420.0,11.266065387038703,0.44458120358346065,0,0,Medium
36.0,Female,Education,4.0891677766283365,Twitter,49.0,6.560467434739402,2.681829763722855,2.4469265730591663,4.0,6.325506938770657,0.7479976406845648,2.0,0,0,4,29.0,8.419648394574525,3.444376346020089,0,0,0,0,0,0,0,36-45,2.5455845371233456,1.5099674388934976,196.0,6.437751649736401,0.23490319066368892,0,0,Low
40.0,Female,Education,4.097400934778553,Instagram,57.0,5.839590148525396,3.2190218425112147,3.004240077935848,4.0,7.73521344454617,0.0,10.0,0,1,2,10.0,0.0,1.9601308164011269,0,0,0,0,1,0,0,36-45,2.091787780270679,1.8428578934297748,228.0,4.394449154672439,0.2147817645753669,1,0,Low
28.0,Other,It,7.595577375716332,Twitter,64.0,5.888936239563789,6.089345282333762,6.086137595210467,3.0,6.7619521629834365,1.4498411391518424,10.0,0,0,1,18.0,6.959376860040466,6.808102455066059,0,1,1,0,0,0,0,26-35,3.3207360800431163,0.8786802903601512,192.0,2.0794415416798357,0.003207687123295777,0,0,Medium
